UnitID,Institution Name,Institution name alias,Street address,City,State,ZIP,Phone,Web address,Financial aid office web address,Admissions office web address,Online application web address,Net price calculator web address,Veterans and Military Servicemembers tuition policies web address,Student-Right-to-Know student athlete graduation rate web address,Disability Services Web Address,Multi-institution or multi-campus organization,Fips County code,County,Longitude,Latitude
100654,Alabama A & M University,AAMU,4900 Meridian Street,Normal,AL,35762,2563725000,www.aamu.edu/,www.aamu.edu/admissions/fincialaid/pages/default.aspx,www.aamu.edu/Admissions/Pages/default.aspx,https://www.aamu.edu/Admissions/UndergraduateAdmissions/Pages/Apply%20Today.aspx,https://galileo.aamu.edu/NetPriceCalculator/npcalc.htm, , ,www.aamu.edu/administrativeoffices/VADS/Pages/Disability-Services.aspx,,1089,Madison County,-86.568502,34.783368
100724,Alabama State University, ,915 S Jackson Street,Montgomery,AL,36104,3342294100,www.alasu.edu,www.alasu.edu/cost-aid/index.aspx,www.alasu.edu/admissions/index.aspx,www.alasu.edu/admissions/undergrad-admissions/index.aspx,www.alasu.edu/cost-aid/forms/calculator/index.aspx, ,www.alasu.edu/search-results/index.aspx,www.alasu.edu/about-asu/the-campus/disability-accessibility/index.aspx,,1101,Montgomery County,-86.295677,32.364317
100812,Athens State University, ,300 N Beaty St,Athens,AL,35611,2562338100,www.athens.edu,www.athens.edu/financial-aid/,www.athens.edu/admissions/,www.athens.edu/apply, , , ,www.athens.edu/disability-services/,,1083,Limestone County,-86.964698,34.806793
100858,Auburn University, , ,Auburn,AL,36849,3348444000,www.auburn.edu,www.auburn.edu/administration/business-finance/finaid/,www.auburn.edu/admissions/,www.auburn.edu/admissions/,https://www.auburn.edu/admissions/costcalc/freshman.html,veterans.auburn.edu,https://auburn.edu/administration/ir/factbook/retention-performance/athlete-graduation-rates.html,cws.auburn.edu/accessibility,Auburn University                                                               ,1081,Lee County,-85.488258,32.599378
100830,Auburn University at Montgomery,AUM||Auburn University at Montgomery|Auburn Montgomery,7440 East Drive,Montgomery,AL,36117,3342443000,www.aum.edu,www.aum.edu/admissions/scholarships-and-financial-aid/financial-aid,www.aum.edu/admissions,www.aum.edu/admissions/step-by-step-guide-to-apply,www.aum.edu/current-students/financial-information/net-price-calculator,www.aum.edu/admissions/financial-affairs/financial-aid/veteran-services,www.aum.edu/academics/institutional-effectiveness/consumer-information,www.aum.edu/campus-life/student-affairs/center-for-disability-services,Auburn University                                                               ,1101,Montgomery County,-86.177544,32.367360
101480,Jacksonville State University, ,700 Pelham Road North,Jacksonville,AL,36265,2567825781,www.jsu.edu/,www.jsu.edu/finaid/,www.jsu.edu/admissions/,www.jsu.edu/undergraduate/apply/index.html,www.jsu.edu/finaid/,www.jsu.edu/finaid/veteransaffairs/,www.jsugamecocksports.com/sports/2008/6/2/Compliance.aspx?tab=compliance,www.jsu.edu/dss/,,1015,Calhoun County,-85.765321,33.822938
100751,The University of Alabama, ,739 University Blvd,Tuscaloosa,AL,35487,2053486010,www.ua.edu/,financialaid.ua.edu,gobama.ua.edu,apply.ua.edu,financialaid.ua.edu/net-price-calculator/,https://vets.sa.ua.edu/,registrar.ua.edu/academics-policies/student-right-to-know/,ods.ua.edu,The University of Alabama System                                                ,1125,Tuscaloosa County,-87.545978,33.211875
102368,Troy University,TROY,University Avenue,Troy,AL,36082,3346703100,www.troy.edu,www.troy.edu/financialaid/,www.troy.edu/admissions/,www.troy.edu/admissions/,www.troy.edu/admissions/net-price-calculator.html,www.troy.edu/military/,www.troy.edu/factsite/graduation-reports.html,www.troy.edu/studentdevelopment/student-disability-services.html,,1109,Pike County,-85.957094,31.800672
100663,University of Alabama at Birmingham, ,Administration Bldg Suite 1070,Birmingham,AL,35294,2059344011,www.uab.edu,www.uab.edu/students/paying-for-college,www.uab.edu/students/undergraduate-admissions,https://idm.uab.edu/myuab/login?from=ugadmapp,uab.studentaidcalculator.com/survey.aspx,www.uab.edu/students/veterans,www.uab.edu/registrar/students,www.uab.edu/students/disability/,The University of Alabama System                                                ,1073,Jefferson County,-86.799345,33.505697
100706,University of Alabama in Huntsville,UAH |University of Alabama Huntsville,301 Sparkman Dr,Huntsville,AL,35899,2568246120,www.uah.edu,finaid.uah.edu/,https://www.uah.edu/admissions,register.uah.edu,finaid.uah.edu/,www.uah.edu/admissions/graduate/financial-aid/veterans,www.uah.edu/heoa,www.uah.edu/health-and-wellness/disability-support,The University of Alabama System                                                ,1089,Madison County,-86.640449,34.724557
