UnitID,Institution Name,Institution name alias,Street address,City,State,ZIP,Phone,Web address,Financial aid office web address,Admissions office web address,Online application web address,Net price calculator web address,Veterans and Military Servicemembers tuition policies web address,Student-Right-to-Know student athlete graduation rate web address,Disability Services Web Address,Fips County code,County,Longitude,Latitude
102429,Bevill State Community College, ,1411 Indiana Avenue,Jasper,AL,35501,2053870511,www.bscc.edu,www.bscc.edu/students/financial-aid,www.bscc.edu/students,https://www.bscc.edu/students/apply-online,www.bscc.edu/students/financial-aid/net-cost-calculator,www.bscc.edu/students/financial-aid/veterans,www.bscc.edu/about/consumer-student-information,www.bscc.edu/students/current-students/student-ada-accommodations,1127,Walker County,-87.266406,33.836929
102030,Bishop State Community College, ,351 North Broad Street,Mobile,AL,36603,2514057000,www.bishop.edu,https://www.bishop.edu/financial-affairs/financial-aid/,https://www.bishop.edu/admissions/,https://www.bishop.edu/admissions-records-eforms/certification-of-eligibility-for-in-state-residency-form/,https://www.bishop.edu/calculator/npcalc.htm,https://www.bishop.edu/financial-affairs/financial-aid/veterans/, ,https://www.bishop.edu/student-services/student-disability-services/,1097,Mobile County,-88.056982,30.693972
100760,Central Alabama Community College, ,1675 Cherokee Rd,Alexander City,AL,35010,2562346346,www.cacc.edu,https://www.cacc.edu/financial-aid/,https://www.cacc.edu/admissions/, ,https://www.cacc.edu/net-price-calculator/,https://www.cacc.edu/financial-aid/,https://www.cacc.edu/about/consumer-information/student-outcomes/,https://www.cacc.edu/about/consumer-information/general-institutional-information/DSO%20Website%20Info.pdf,1123,Tallapoosa County,-85.945266,32.924780
101028,Chattahoochee Valley Community College,CVCC,2602 College Drive,Phenix City,AL,36869,3342914900,www.cv.edu,www.cv.edu/currentstudents/financialaid/,www.cv.edu/futurestudents/admission-procedures/,https://services.cv.edu:444/accws/isconlap.pgm,www.cv.edu/about/consumer-information/,www.cv.edu/futurestudents/military-veterans/,www.cv.edu/about/consumer-information/,www.cv.edu/about/consumer-information/,1113,Russell County,-85.031485,32.423910
101161,Coastal Alabama Community College, ,1900 U S Highway 31 South,Bay Minette,AL,36507,2515802100,www.coastalalabama.edu,www.coastalalabama.edu,www.coastalalabama.edu,www.coastalalabama.edu,www.coastalalabama.edu,www.coastalalabama.edu,www.coastalalabama.edu,www.coastalalabama.edu,1003,Baldwin County,-87.778193,30.851343
101143,Enterprise State Community College,Enterprise-Ozark Community College  |Enterprise State Junior College,600 Plaza Drive,Enterprise,AL,36330,3343472623,www.escc.edu,www.escc.edu/students/financial-aid-students/,https://www.escc.edu/admissions/,https://grace.escc.edu/cgi-bin/admonline.mbr/login,https://www.escc.edu/netprice/npcalc.htm,https://www.escc.edu/students/financial-aid-students/,www.escc.edu/consumer-information/,www.escc.edu,1031,Coffee County,-85.836956,31.297496
101240,Gadsden State Community College,GSCC | Gadsden State | Gadsden Community College,1001 George Wallace Dr,Gadsden,AL,35903,2565498200,www.gadsdenstate.edu,www.gadsdenstate.edu/financial_aid/home,www.gadsdenstate.edu/admissions/home,https://ssb.gadsdenstate.edu/PROD/bwskalog.P_DispLoginNon,www.gadsdenstate.edu/net-price-calculator,www.gadsdenstate.edu/financial_aid/veterans-education-benefits,www.gadsdenstate.edu/sites/default/files/u23/Athletics%20Student%20Right%20to%20Know%202017.pdf,www.gadsdenstate.edu/ada/home,1055,Etowah County,-85.991438,33.994001
101286,George C Wallace Community College-Dothan,WALLACE DOTHAN|WCCD,1141 Wallace Drive,Dothan,AL,36303,3349833521,www.wallace.edu,www.wallace.edu/financial_aid.aspx,www.wallace.edu/admissions.aspx,www.wallace.edu/admissions/online_application.aspx,www.wallace.edu/net_price_calculator.aspx,www.wallace.edu/financial_aid/veterans_benefits.aspx,www.wallace.edu/about_wcc/consumer_information.aspx#RatesForStudentAthletes,www.wallace.edu/student_services/counseling_disability_support_and_career_services.aspx,1045,Dale County,-85.465836,31.315274
101295,George C Wallace State Community College-Hanceville,Wallace State Community College |Wallace State - Hanceville,801 Main St NW,Hanceville,AL,35077,2563528000,www.wallacestate.edu,www.wallacestate.edu/Financial-Aid,www.wallacestate.edu/Admissions,www.wallacestate.edu/Admissions/Apply-Online,www.wallacestate.edu/Financial-Aid/Net-Price-Calculator,www.wallacestate.edu/Financial-Aid/Veterans-Affairs,www.wallacestate.edu/consumer-information,www.wallacestate.edu/special-accommodations-ada,1043,Cullman County,-86.781935,34.072439
101301,George C Wallace State Community College-Selma,Wallace Community College - Selma,3000 Earl Goodwin Parkway,Selma,AL,36703,3348769227,www.wccs.edu,www.wccs.edu/financial-aid/,wccs.edu/admissions/,www.wccs.edu/admissions/application/,www.wccs.edu/financial-aid/about-financial-aid/,www.wccs.edu/financial-aid/veteran-affairs/,img.wccs.edu/files/students/csi/srtk_2018.pdf,www.wccs.edu/students/consumer-student-information/,1047,Dallas County,-87.013294,32.445917
