CourseAbbrev,CourseTitle,,,,
ACC,Accounting,,,,
AFS,Air Force R.O.T.C.,,,,
ANT,Anthropology,,,,
ART,Art,,,,
ASL,American Sign Language,,,,
AST,Astronomy,,,,
BFN,Banking & Finance,,,,
BIO,Biology,,,,
BSS,Basic Study Skills/Personal Development,,,,
BUS,Business,,,,
CHM,Chemistry,,,,
CRJ,Criminal Justice,,,,
DNC,Dance,,,,
ECO,Economics,,,,
EDU,"Education, General",,,,
EGR,Engineering (University Transfer),,,,
ENG,English,,,,
ETP,Entrepreneurship,,,,
FRN,Foreign Language,,,,
FSC,Fire Science,,,,
GEO,Geography,,,,
GLY,Geology,,,,
HEC,Home Economics,,,,
HED,Health Education,,,,
HIS,History,,,,
HUM,Humanities,,,,
IDH,Interdisciplinary Studies/Honors,,,,
IDS,Interdisciplinary Studies/Honors,,,,
LBS,Library Sciences,,,,
LDR,Organizational Leadership,,,,
MAH,Mathematics,,,,
MCM,Mass Communications,,,,
MIC,Music Industry Communications,,,,
MKT,Marketing,,,,
MSC,Military Sciences,,,,
MST,Management and Supervision,,,,
MTH,Mathematics,,,,
MUL,Music Ensemble,,,,
MUP,Music Performance,,,,
MUS,Music,,,,
ODL,Outdoor Leadership,,,,
ORI,Orientation - Degree,,,,
ORT,Orientation-Non Degree,,,,
PED,Physical Education,,,,
PHL,Philosophy,,,,
PHS,Physical Science,,,,
PHY,Physics,,,,
POL,Political Science,,,,
POR,"Portuguese, Language, and Literature",,,,
PSY,Psychology,,,,
RDG,Reading,,,,
REC,Recreation,,,,
REL,Religious Studies,,,,
RLS,Real Estate,,,,
SOC,Sociology,,,,
SPA,Spanish,,,,
SPH,Speech,,,,
SWT,Social Work Technician,,,,
THR,Theater Arts,,,,
ABR,Automotive Body Repair,,,,
ACR,Air Conditioning/Refrigeration Tech,,,,
ACT,Accounting Technology,,,,
ADM,Advanced Manufacturing,,,,
AET,Architectural Engineering Technology,,,,
AGP,Agricultural Production,,,,
AGR,Agriculture,,,,
AMP,Aviation Maintenance Powerplant,,,,
AMT,Aviation Maintenance Technology,,,,
ARS,Aeronautical Engineering Technology,,,,
ASC,Heating and Air Conditioning,,,,
ASE,Automotive Technology,,,,
ATM,Automated Manufacturing Technology,,,,
AUM,Automotive Technology,,,,
AUT,Automotive Manufacturing Technology,,,,
AVM,Aviation Management,,,,
AVT,Avionics Technology,,,,
BAR,Barbering,,,,
BUC,Building Construction,,,,
CAB,Cabinet Making,,,,
CAP,Computer Animation Production,,,,
CAR,Carpentry,,,,
CAT,Commercial Art,,,,
CBB,Craft Beer Brewing,,,,
CDT,Civil Design Technology,,,,
CET,Civil Engineering Technology,,,,
CFS,Commercial Food Services,,,,
CGM,Child Development,,,,
CHD,Child Development,,,,
CIS,Computer Science,,,,
CIT,Cosmetology Instructor Training,,,,
CMS,Commercial Sewing,,,,
CMT,Construction Management Technology,,,,
CNC,Computerized Numerical Control,,,,
COS,Cosmetology,,,,
CPT,Computer Maintenance Technology,,,,
CUA,Culinary Arts/Chef Training,,,,
DDT,Drafting,,,,
DEM,Diesel Mechanics,,,,
DMM,Digital Media,,,,
DPT,Computer Science,,,,
EET,Electronic Engineering Technology,,,,
EIM,Electromechanical and Instrumentation Technology,,,,
ELM,Electromechanical Technology,,,,
ELT,Electrical Technology,,,,
ENT,Engineering Technology/Technician,,,,
ETC,Electronics Core,,,,
EVT,Environmental Technology,,,,
